paper,dataname,method,n_samples,n_neighbors,1-NN,Trustworthiness,Continuity
comparative,orl,isomap.skl,2000,8,0.165,0.977,0.992
comparative,twinpeaks,lle,2000,10,0.014,0.985,0.993
comparative,twinpeaks,lle,2000,15,0.115,0.9,0.975
comparative,twinpeaks,lle,2000,11,0.017,0.987,0.995
comparative,twinpeaks,lle,2000,9,0.075,0.869,0.976
comparative,twinpeaks,lle,2000,14,0.032,0.962,0.985
comparative,twinpeaks,lle,2000,8,0.031,0.952,0.993
comparative,twinpeaks,lle,2000,5,0.103,0.953,0.978
comparative,twinpeaks,lle,2000,6,0.06,0.962,0.98
comparative,twinpeaks,lle,2000,13,0.105,0.892,0.98
comparative,twinpeaks,lle,2000,7,0.02,0.976,0.991
comparative,twinpeaks,lle,2000,12,0.026,0.966,0.987
comparative,twinpeaks,lle,2000,10,0.014,0.985,0.993
comparative,twinpeaks,lle,2000,15,0.115,0.9,0.975
comparative,twinpeaks,lle,2000,11,0.017,0.987,0.995
comparative,twinpeaks,lle,2000,9,0.075,0.869,0.976
comparative,twinpeaks,lle,2000,14,0.032,0.962,0.985
comparative,twinpeaks,lle,2000,8,0.031,0.952,0.993
comparative,twinpeaks,lle,2000,5,0.103,0.953,0.978
comparative,twinpeaks,lle,2000,6,0.06,0.962,0.98
comparative,twinpeaks,lle,2000,13,0.105,0.892,0.98
comparative,twinpeaks,lle,2000,7,0.02,0.976,0.991
comparative,twinpeaks,lle,2000,12,0.026,0.966,0.987
comparative,swiss,lle,2000,9,0.054,0.998,0.998
comparative,swiss,lle,2000,7,0.07,0.996,0.998
comparative,swiss,lle,2000,6,0.274,0.888,0.982
comparative,swiss,lle,2000,13,0.232,0.94,0.996
comparative,swiss,lle,2000,8,0.057,0.998,0.998
comparative,swiss,lle,2000,15,0.232,0.902,0.991
comparative,swiss,lle,2000,11,0.15,0.959,0.992
comparative,swiss,lle,2000,14,0.126,0.969,0.995
comparative,swiss,lle,2000,10,0.084,0.989,0.997
comparative,swiss,lle,2000,12,0.199,0.918,0.985
comparative,swiss,lle,2000,5,0.255,0.877,0.974
comparative,swiss,lle,2000,9,0.054,0.998,0.998
comparative,swiss,lle,2000,7,0.07,0.996,0.998
comparative,swiss,lle,2000,6,0.274,0.888,0.982
comparative,swiss,lle,2000,13,0.232,0.94,0.996
comparative,swiss,lle,2000,8,0.057,0.998,0.998
comparative,swiss,lle,2000,15,0.232,0.902,0.991
comparative,swiss,lle,2000,11,0.15,0.959,0.992
comparative,swiss,lle,2000,14,0.126,0.969,0.995
comparative,swiss,lle,2000,10,0.084,0.989,0.997
comparative,swiss,lle,2000,12,0.199,0.918,0.985
comparative,swiss,lle,2000,5,0.255,0.877,0.974
comparative,broken.swiss,lle,2000,7,0.358,0.758,0.979
comparative,broken.swiss,lle,2000,6,0.396,0.812,0.976
comparative,broken.swiss,lle,2000,8,0.362,0.748,0.98
comparative,broken.swiss,lle,2000,14,0.461,0.843,0.864
comparative,broken.swiss,lle,2000,12,0.481,0.772,0.977
comparative,broken.swiss,lle,2000,5,0.396,0.767,0.975
comparative,broken.swiss,lle,2000,9,0.436,0.916,0.867
comparative,broken.swiss,lle,2000,11,0.464,0.93,0.868
comparative,broken.swiss,lle,2000,10,0.382,0.809,0.981
comparative,broken.swiss,lle,2000,15,0.432,0.773,0.976
comparative,broken.swiss,lle,2000,13,0.477,0.845,0.865
comparative,broken.swiss,lle,2000,7,0.358,0.758,0.979
comparative,broken.swiss,lle,2000,6,0.396,0.812,0.976
comparative,broken.swiss,lle,2000,8,0.362,0.748,0.98
comparative,broken.swiss,lle,2000,14,0.461,0.843,0.864
comparative,broken.swiss,lle,2000,12,0.481,0.772,0.977
comparative,broken.swiss,lle,2000,5,0.396,0.767,0.975
comparative,broken.swiss,lle,2000,9,0.436,0.916,0.867
comparative,broken.swiss,lle,2000,11,0.464,0.93,0.868
comparative,broken.swiss,lle,2000,10,0.382,0.809,0.981
comparative,broken.swiss,lle,2000,15,0.432,0.773,0.976
comparative,broken.swiss,lle,2000,13,0.477,0.845,0.865
comparative,orl,lle.skl,2000,6,0.172,0.959,0.972
comparative,orl,lle.skl,2000,7,0.155,0.947,0.968
comparative,orl,lle.skl,2000,8,0.168,0.949,0.963
comparative,orl,lle.skl,2000,9,0.168,0.945,0.948
comparative,orl,lle.skl,2000,10,0.12,0.952,0.953
comparative,orl,lle.skl,2000,12,0.11,0.953,0.948
comparative,orl,lle.skl,2000,11,0.122,0.953,0.949
comparative,orl,lle.skl,2000,14,0.09,0.95,0.945
comparative,orl,lle.skl,2000,13,0.1,0.951,0.947
comparative,orl,lle.skl,2000,15,0.102,0.945,0.942
comparative,orl,lle.skl,2000,6,0.172,0.959,0.972
comparative,orl,lle.skl,2000,7,0.155,0.947,0.968
comparative,orl,lle.skl,2000,8,0.168,0.949,0.963
comparative,orl,lle.skl,2000,9,0.168,0.945,0.948
comparative,orl,lle.skl,2000,10,0.12,0.952,0.953
comparative,orl,lle.skl,2000,12,0.11,0.953,0.948
comparative,orl,lle.skl,2000,11,0.122,0.953,0.949
comparative,orl,lle.skl,2000,14,0.09,0.95,0.945
comparative,orl,lle.skl,2000,13,0.1,0.951,0.947
comparative,orl,lle.skl,2000,15,0.102,0.945,0.942
comparative,orl,le.skl,2000,6,0.085,0.98,0.982
comparative,orl,le.skl,2000,5,0.072,0.979,0.985
comparative,orl,le.skl,2000,9,0.125,0.972,0.98
comparative,orl,le.skl,2000,7,0.092,0.978,0.985
comparative,orl,le.skl,2000,10,0.16,0.967,0.976
comparative,orl,le.skl,2000,11,0.17,0.969,0.975
comparative,orl,le.skl,2000,8,0.155,0.974,0.982
comparative,orl,le.skl,2000,14,0.2,0.965,0.973
comparative,orl,le.skl,2000,12,0.203,0.968,0.974
comparative,orl,le.skl,2000,13,0.203,0.968,0.972
comparative,orl,le.skl,2000,15,0.188,0.964,0.972
comparative,orl,le.skl,2000,6,0.085,0.98,0.982
comparative,orl,le.skl,2000,5,0.072,0.979,0.985
comparative,orl,le.skl,2000,9,0.125,0.972,0.98
comparative,orl,le.skl,2000,7,0.092,0.978,0.985
comparative,orl,le.skl,2000,10,0.16,0.967,0.976
comparative,orl,le.skl,2000,11,0.17,0.969,0.975
comparative,orl,le.skl,2000,8,0.155,0.974,0.982
comparative,orl,le.skl,2000,14,0.2,0.965,0.973
comparative,orl,le.skl,2000,12,0.203,0.968,0.974
comparative,orl,le.skl,2000,13,0.203,0.968,0.972
comparative,orl,le.skl,2000,15,0.188,0.964,0.972
eng,two.swiss,isomap,2000,5,0.189,0.973,0.996
eng,two.swiss,isomap,2000,6,0.163,0.982,0.996
eng,two.swiss,isomap,2000,7,0.158,0.978,0.996
eng,two.swiss,isomap,2000,8,0.159,0.973,0.996
eng,two.swiss,isomap,2000,9,0.16,0.974,0.995
eng,two.swiss,isomap,2000,10,0.147,0.971,0.995
eng,two.swiss,isomap,2000,11,0.146,0.969,0.995
eng,two.swiss,isomap,2000,12,0.138,0.967,0.995
eng,two.swiss,isomap,2000,13,0.149,0.965,0.995
eng,two.swiss,isomap,2000,14,0.155,0.964,0.995
eng,two.swiss,isomap,2000,15,0.152,0.963,0.994
eng,two.swiss,isomap,2000,5,0.189,0.973,0.996
eng,two.swiss,isomap,2000,6,0.163,0.982,0.996
eng,two.swiss,isomap,2000,7,0.158,0.978,0.996
eng,two.swiss,isomap,2000,8,0.159,0.973,0.996
eng,two.swiss,isomap,2000,9,0.16,0.974,0.995
eng,two.swiss,isomap,2000,10,0.147,0.971,0.995
eng,two.swiss,isomap,2000,11,0.146,0.969,0.995
eng,two.swiss,isomap,2000,12,0.138,0.967,0.995
eng,two.swiss,isomap,2000,13,0.149,0.965,0.995
eng,two.swiss,isomap,2000,14,0.155,0.964,0.995
eng,two.swiss,isomap,2000,15,0.152,0.963,0.994
eng,four.moons,isomap,2000,5,0.0,0.983,0.994
eng,four.moons,isomap,2000,6,0.0,0.984,0.994
eng,four.moons,isomap,2000,7,0.0,0.983,0.994
eng,four.moons,isomap,2000,8,0.0,0.983,0.994
eng,four.moons,isomap,2000,9,0.0,0.983,0.993
eng,four.moons,isomap,2000,10,0.0,0.983,0.993
eng,four.moons,isomap,2000,11,0.0,0.983,0.993
eng,four.moons,isomap,2000,12,0.0,0.983,0.993
eng,four.moons,isomap,2000,13,0.0,0.982,0.992
eng,four.moons,isomap,2000,14,0.0,0.981,0.992
eng,four.moons,isomap,2000,15,0.015,0.966,0.991
eng,four.moons,isomap,2000,5,0.0,0.983,0.994
eng,four.moons,isomap,2000,6,0.0,0.984,0.994
eng,four.moons,isomap,2000,7,0.0,0.983,0.994
eng,four.moons,isomap,2000,8,0.0,0.983,0.994
eng,four.moons,isomap,2000,9,0.0,0.983,0.993
eng,four.moons,isomap,2000,10,0.0,0.983,0.993
eng,four.moons,isomap,2000,11,0.0,0.983,0.993
eng,four.moons,isomap,2000,12,0.0,0.983,0.993
eng,four.moons,isomap,2000,13,0.0,0.982,0.992
eng,four.moons,isomap,2000,14,0.0,0.981,0.992
eng,four.moons,isomap,2000,15,0.015,0.966,0.991
comparative,orl,ltsa.skl,2000,11,0.24,0.87,0.893
comparative,orl,ltsa.skl,2000,14,0.087,0.95,0.945
comparative,orl,ltsa.skl,2000,8,0.265,0.893,0.807
comparative,orl,ltsa.skl,2000,12,0.18,0.917,0.924
comparative,orl,ltsa.skl,2000,10,0.417,0.795,0.75
comparative,orl,ltsa.skl,2000,13,0.147,0.917,0.928
comparative,orl,ltsa.skl,2000,15,0.08,0.956,0.951
comparative,orl,ltsa.skl,2000,9,0.705,0.739,0.537
comparative,orl,ltsa.skl,2000,11,0.24,0.87,0.893
comparative,orl,ltsa.skl,2000,14,0.087,0.95,0.945
comparative,orl,ltsa.skl,2000,8,0.265,0.893,0.807
comparative,orl,ltsa.skl,2000,12,0.18,0.917,0.924
comparative,orl,ltsa.skl,2000,10,0.417,0.795,0.75
comparative,orl,ltsa.skl,2000,13,0.147,0.917,0.928
comparative,orl,ltsa.skl,2000,15,0.08,0.956,0.951
comparative,orl,ltsa.skl,2000,9,0.705,0.739,0.537
eng,coil20,isomap,2000,14,0.11,0.973,0.994
eng,coil20,isomap,2000,15,0.089,0.979,0.994
eng,coil20,isomap,2000,12,0.097,0.978,0.994
eng,coil20,isomap,2000,13,0.103,0.979,0.993
eng,coil20,isomap,2000,11,0.098,0.978,0.994
eng,coil20,isomap,2000,10,0.09,0.973,0.994
eng,coil20,isomap,2000,9,0.094,0.972,0.994
eng,coil20,isomap,2000,8,0.083,0.974,0.995
eng,coil20,isomap,2000,5,0.078,0.962,0.995
eng,coil20,isomap,2000,7,0.11,0.966,0.995
eng,coil20,isomap,2000,6,0.097,0.962,0.993
eng,coil20,isomap,2000,14,0.11,0.973,0.994
eng,coil20,isomap,2000,15,0.089,0.979,0.994
eng,coil20,isomap,2000,12,0.097,0.978,0.994
eng,coil20,isomap,2000,13,0.103,0.979,0.993
eng,coil20,isomap,2000,11,0.098,0.978,0.994
eng,coil20,isomap,2000,10,0.09,0.973,0.994
eng,coil20,isomap,2000,9,0.094,0.972,0.994
eng,coil20,isomap,2000,8,0.083,0.974,0.995
eng,coil20,isomap,2000,5,0.078,0.962,0.995
eng,coil20,isomap,2000,7,0.11,0.966,0.995
eng,coil20,isomap,2000,6,0.097,0.962,0.993
comparative,coil20,isomap,2000,14,0.11,0.973,0.994
comparative,coil20,isomap,2000,15,0.089,0.979,0.994
comparative,coil20,isomap,2000,12,0.097,0.978,0.994
comparative,coil20,isomap,2000,13,0.103,0.979,0.993
comparative,coil20,isomap,2000,11,0.098,0.978,0.994
comparative,coil20,isomap,2000,10,0.09,0.973,0.994
comparative,coil20,isomap,2000,9,0.094,0.972,0.994
comparative,coil20,isomap,2000,8,0.083,0.974,0.995
comparative,coil20,isomap,2000,5,0.078,0.962,0.995
comparative,coil20,isomap,2000,6,0.097,0.962,0.993
comparative,coil20,isomap,2000,7,0.11,0.966,0.995
comparative,coil20,isomap,2000,14,0.11,0.973,0.994
comparative,coil20,isomap,2000,15,0.089,0.979,0.994
comparative,coil20,isomap,2000,12,0.097,0.978,0.994
comparative,coil20,isomap,2000,13,0.103,0.979,0.993
comparative,coil20,isomap,2000,11,0.098,0.978,0.994
comparative,coil20,isomap,2000,10,0.09,0.973,0.994
comparative,coil20,isomap,2000,9,0.094,0.972,0.994
comparative,coil20,isomap,2000,8,0.083,0.974,0.995
comparative,coil20,isomap,2000,5,0.078,0.962,0.995
comparative,coil20,isomap,2000,6,0.097,0.962,0.993
comparative,coil20,isomap,2000,7,0.11,0.966,0.995
eng,two.swiss,isomap.eng,2000,5,0.146,0.984,0.997
eng,two.swiss,isomap.eng,2000,6,0.16,0.984,0.996
eng,two.swiss,isomap.eng,2000,7,0.153,0.981,0.996
eng,two.swiss,isomap.eng,2000,8,0.158,0.977,0.996
eng,two.swiss,isomap.eng,2000,10,0.144,0.975,0.995
eng,two.swiss,isomap.eng,2000,9,0.154,0.977,0.996
eng,two.swiss,isomap.eng,2000,11,0.142,0.973,0.995
eng,two.swiss,isomap.eng,2000,12,0.135,0.971,0.995
eng,two.swiss,isomap.eng,2000,13,0.136,0.969,0.995
eng,two.swiss,isomap.eng,2000,14,0.146,0.968,0.995
eng,two.swiss,isomap.eng,2000,15,0.142,0.967,0.994
eng,two.swiss,isomap.eng,2000,5,0.146,0.984,0.997
eng,two.swiss,isomap.eng,2000,6,0.16,0.984,0.996
eng,two.swiss,isomap.eng,2000,7,0.153,0.981,0.996
eng,two.swiss,isomap.eng,2000,8,0.158,0.977,0.996
eng,two.swiss,isomap.eng,2000,10,0.144,0.975,0.995
eng,two.swiss,isomap.eng,2000,9,0.154,0.977,0.996
eng,two.swiss,isomap.eng,2000,11,0.142,0.973,0.995
eng,two.swiss,isomap.eng,2000,12,0.135,0.971,0.995
eng,two.swiss,isomap.eng,2000,13,0.136,0.969,0.995
eng,two.swiss,isomap.eng,2000,14,0.146,0.968,0.995
eng,two.swiss,isomap.eng,2000,15,0.142,0.967,0.994
eng,four.moons,isomap.eng,2000,5,0.011,0.986,0.997
eng,four.moons,isomap.eng,2000,6,0.014,0.987,0.997
eng,four.moons,isomap.eng,2000,7,0.009,0.988,0.997
eng,four.moons,isomap.eng,2000,8,0.006,0.989,0.997
eng,four.moons,isomap.eng,2000,9,0.011,0.987,0.997
eng,four.moons,isomap.eng,2000,10,0.011,0.987,0.997
eng,four.moons,isomap.eng,2000,11,0.016,0.985,0.997
eng,four.moons,isomap.eng,2000,12,0.021,0.984,0.997
eng,four.moons,isomap.eng,2000,13,0.018,0.985,0.997
eng,four.moons,isomap.eng,2000,14,0.024,0.985,0.997
eng,four.moons,isomap.eng,2000,15,0.018,0.987,0.997
eng,four.moons,isomap.eng,2000,5,0.011,0.986,0.997
eng,four.moons,isomap.eng,2000,6,0.014,0.987,0.997
eng,four.moons,isomap.eng,2000,7,0.009,0.988,0.997
eng,four.moons,isomap.eng,2000,8,0.006,0.989,0.997
eng,four.moons,isomap.eng,2000,9,0.011,0.987,0.997
eng,four.moons,isomap.eng,2000,10,0.011,0.987,0.997
eng,four.moons,isomap.eng,2000,11,0.016,0.985,0.997
eng,four.moons,isomap.eng,2000,12,0.021,0.984,0.997
eng,four.moons,isomap.eng,2000,13,0.018,0.985,0.997
eng,four.moons,isomap.eng,2000,14,0.024,0.985,0.997
eng,four.moons,isomap.eng,2000,15,0.018,0.987,0.997
comparative,helix,le,2000,6,0.058,0.822,0.79
comparative,helix,le,2000,8,0.03,0.861,0.836
comparative,helix,le,2000,15,0.012,0.998,0.987
comparative,helix,le,2000,9,0.129,0.896,0.832
comparative,helix,le,2000,13,0.012,0.981,0.961
comparative,helix,le,2000,7,0.046,0.828,0.81
comparative,helix,le,2000,10,0.018,0.919,0.876
comparative,helix,le,2000,11,0.018,0.946,0.925
comparative,helix,le,2000,14,0.011,0.993,0.98
comparative,helix,le,2000,12,0.017,0.971,0.946
comparative,helix,le,2000,5,0.509,0.761,0.572
comparative,helix,le,2000,6,0.058,0.822,0.79
comparative,helix,le,2000,8,0.03,0.861,0.836
comparative,helix,le,2000,15,0.012,0.998,0.987
comparative,helix,le,2000,9,0.129,0.896,0.832
comparative,helix,le,2000,13,0.012,0.981,0.961
comparative,helix,le,2000,7,0.046,0.828,0.81
comparative,helix,le,2000,10,0.018,0.919,0.876
comparative,helix,le,2000,11,0.018,0.946,0.925
comparative,helix,le,2000,14,0.011,0.993,0.98
comparative,helix,le,2000,12,0.017,0.971,0.946
comparative,helix,le,2000,5,0.509,0.761,0.572
comparative,swiss,le,2000,5,0.202,0.962,0.993
comparative,swiss,le,2000,8,0.22,0.936,0.99
comparative,swiss,le,2000,10,0.244,0.915,0.988
comparative,swiss,le,2000,13,0.264,0.9,0.986
comparative,swiss,le,2000,15,0.258,0.884,0.985
comparative,swiss,le,2000,9,0.229,0.923,0.989
comparative,swiss,le,2000,11,0.247,0.906,0.987
comparative,swiss,le,2000,14,0.268,0.889,0.986
comparative,swiss,le,2000,6,0.195,0.954,0.992
comparative,swiss,le,2000,7,0.203,0.953,0.991
comparative,swiss,le,2000,12,0.253,0.901,0.987
comparative,swiss,le,2000,5,0.202,0.962,0.993
comparative,swiss,le,2000,8,0.22,0.936,0.99
comparative,swiss,le,2000,10,0.244,0.915,0.988
comparative,swiss,le,2000,13,0.264,0.9,0.986
comparative,swiss,le,2000,15,0.258,0.884,0.985
comparative,swiss,le,2000,9,0.229,0.923,0.989
comparative,swiss,le,2000,11,0.247,0.906,0.987
comparative,swiss,le,2000,14,0.268,0.889,0.986
comparative,swiss,le,2000,6,0.195,0.954,0.992
comparative,swiss,le,2000,7,0.203,0.953,0.991
comparative,swiss,le,2000,12,0.253,0.901,0.987
comparative,twinpeaks,le,2000,13,0.009,0.985,0.989
comparative,twinpeaks,le,2000,15,0.005,0.994,0.992
comparative,twinpeaks,le,2000,10,0.023,0.959,0.986
comparative,twinpeaks,le,2000,11,0.015,0.965,0.986
comparative,twinpeaks,le,2000,9,0.018,0.953,0.985
comparative,twinpeaks,le,2000,14,0.006,0.994,0.992
comparative,twinpeaks,le,2000,5,0.005,0.991,0.986
comparative,twinpeaks,le,2000,8,0.006,0.97,0.987
comparative,twinpeaks,le,2000,7,0.008,0.974,0.988
comparative,twinpeaks,le,2000,6,0.006,0.983,0.988
comparative,twinpeaks,le,2000,12,0.017,0.977,0.986
comparative,twinpeaks,le,2000,13,0.009,0.985,0.989
comparative,twinpeaks,le,2000,15,0.005,0.994,0.992
comparative,twinpeaks,le,2000,10,0.023,0.959,0.986
comparative,twinpeaks,le,2000,11,0.015,0.965,0.986
comparative,twinpeaks,le,2000,9,0.018,0.953,0.985
comparative,twinpeaks,le,2000,14,0.006,0.994,0.992
comparative,twinpeaks,le,2000,5,0.005,0.991,0.986
comparative,twinpeaks,le,2000,8,0.006,0.97,0.987
comparative,twinpeaks,le,2000,7,0.008,0.974,0.988
comparative,twinpeaks,le,2000,6,0.006,0.983,0.988
comparative,twinpeaks,le,2000,12,0.017,0.977,0.986
comparative,broken.swiss,le,2000,14,0.427,0.864,0.879
comparative,broken.swiss,le,2000,6,0.346,0.846,0.884
comparative,broken.swiss,le,2000,11,0.485,0.901,0.87
comparative,broken.swiss,le,2000,12,0.455,0.9,0.87
comparative,broken.swiss,le,2000,10,0.479,0.902,0.87
comparative,broken.swiss,le,2000,15,0.461,0.895,0.869
comparative,broken.swiss,le,2000,8,0.325,0.852,0.889
comparative,broken.swiss,le,2000,13,0.471,0.898,0.87
comparative,broken.swiss,le,2000,7,0.464,0.912,0.87
comparative,broken.swiss,le,2000,5,0.423,0.919,0.872
comparative,broken.swiss,le,2000,9,0.457,0.902,0.87
comparative,broken.swiss,le,2000,14,0.427,0.864,0.879
comparative,broken.swiss,le,2000,6,0.346,0.846,0.884
comparative,broken.swiss,le,2000,11,0.485,0.901,0.87
comparative,broken.swiss,le,2000,12,0.455,0.9,0.87
comparative,broken.swiss,le,2000,10,0.479,0.902,0.87
comparative,broken.swiss,le,2000,15,0.461,0.895,0.869
comparative,broken.swiss,le,2000,8,0.325,0.852,0.889
comparative,broken.swiss,le,2000,13,0.471,0.898,0.87
comparative,broken.swiss,le,2000,7,0.464,0.912,0.87
comparative,broken.swiss,le,2000,5,0.423,0.919,0.872
comparative,broken.swiss,le,2000,9,0.457,0.902,0.87
comparative,difficult,lle,2000,13,0.428,0.937,0.976
comparative,difficult,lle,2000,12,0.452,0.94,0.962
comparative,difficult,lle,2000,7,0.476,0.835,0.91
comparative,difficult,lle,2000,6,0.468,0.92,0.969
comparative,difficult,lle,2000,8,0.45,0.856,0.924
comparative,difficult,lle,2000,10,0.489,0.891,0.941
comparative,difficult,lle,2000,11,0.492,0.855,0.921
comparative,difficult,lle,2000,15,0.414,0.976,0.99
comparative,difficult,lle,2000,9,0.468,0.801,0.914
comparative,difficult,lle,2000,5,0.477,0.901,0.978
comparative,difficult,lle,2000,14,0.378,0.98,0.991
comparative,difficult,lle,2000,13,0.428,0.937,0.976
comparative,difficult,lle,2000,12,0.452,0.94,0.962
comparative,difficult,lle,2000,7,0.476,0.835,0.91
comparative,difficult,lle,2000,6,0.468,0.92,0.969
comparative,difficult,lle,2000,8,0.45,0.856,0.924
comparative,difficult,lle,2000,10,0.489,0.891,0.941
comparative,difficult,lle,2000,11,0.492,0.855,0.921
comparative,difficult,lle,2000,15,0.414,0.976,0.99
comparative,difficult,lle,2000,9,0.468,0.801,0.914
comparative,difficult,lle,2000,5,0.477,0.901,0.978
comparative,difficult,lle,2000,14,0.378,0.98,0.991
comparative,coil20,lle,2000,6,0.144,0.963,0.984
comparative,coil20,lle,2000,13,0.096,0.965,0.975
comparative,coil20,lle,2000,9,0.129,0.974,0.978
comparative,coil20,lle,2000,11,0.097,0.968,0.98
comparative,coil20,lle,2000,10,0.084,0.974,0.981
comparative,coil20,lle,2000,8,0.102,0.964,0.986
comparative,coil20,lle,2000,14,0.079,0.964,0.977
comparative,coil20,lle,2000,5,0.106,0.969,0.99
comparative,coil20,lle,2000,7,0.141,0.982,0.985
comparative,coil20,lle,2000,12,0.085,0.974,0.978
comparative,coil20,lle,2000,15,0.124,0.951,0.977
comparative,coil20,lle,2000,6,0.144,0.963,0.984
comparative,coil20,lle,2000,13,0.096,0.965,0.975
comparative,coil20,lle,2000,9,0.129,0.974,0.978
comparative,coil20,lle,2000,11,0.097,0.968,0.98
comparative,coil20,lle,2000,10,0.084,0.974,0.981
comparative,coil20,lle,2000,8,0.102,0.964,0.986
comparative,coil20,lle,2000,14,0.079,0.964,0.977
comparative,coil20,lle,2000,5,0.106,0.969,0.99
comparative,coil20,lle,2000,7,0.141,0.982,0.985
comparative,coil20,lle,2000,12,0.085,0.974,0.978
comparative,coil20,lle,2000,15,0.124,0.951,0.977
eng,two.swiss,lle,2000,15,0.514,0.858,0.968
eng,two.swiss,lle,2000,11,0.398,0.882,0.986
eng,two.swiss,lle,2000,13,0.408,0.837,0.977
eng,two.swiss,lle,2000,7,0.396,0.874,0.989
eng,two.swiss,lle,2000,6,0.43,0.884,0.986
eng,two.swiss,lle,2000,10,0.488,0.841,0.976
eng,two.swiss,lle,2000,5,0.374,0.863,0.982
eng,two.swiss,lle,2000,12,0.489,0.941,0.869
eng,two.swiss,lle,2000,9,0.466,0.934,0.871
eng,two.swiss,lle,2000,14,0.489,0.918,0.862
eng,two.swiss,lle,2000,8,0.479,0.941,0.871
eng,two.swiss,lle,2000,15,0.514,0.858,0.968
eng,two.swiss,lle,2000,11,0.398,0.882,0.986
eng,two.swiss,lle,2000,13,0.408,0.837,0.977
eng,two.swiss,lle,2000,7,0.396,0.874,0.989
eng,two.swiss,lle,2000,6,0.43,0.884,0.986
eng,two.swiss,lle,2000,10,0.488,0.841,0.976
eng,two.swiss,lle,2000,5,0.374,0.863,0.982
eng,two.swiss,lle,2000,12,0.489,0.941,0.869
eng,two.swiss,lle,2000,9,0.466,0.934,0.871
eng,two.swiss,lle,2000,14,0.489,0.918,0.862
eng,two.swiss,lle,2000,8,0.479,0.941,0.871
eng,four.moons,lle,2000,9,0.25,0.993,0.829
eng,four.moons,lle,2000,14,0.25,0.994,0.835
eng,four.moons,lle,2000,10,0.25,0.993,0.83
eng,four.moons,lle,2000,12,0.25,0.993,0.833
eng,four.moons,lle,2000,13,0.0,0.988,0.826
eng,four.moons,lle,2000,11,0.0,0.998,0.838
eng,four.moons,lle,2000,8,0.25,0.993,0.828
eng,four.moons,lle,2000,6,0.25,0.992,0.827
eng,four.moons,lle,2000,5,0.25,0.985,0.841
eng,four.moons,lle,2000,15,0.25,0.994,0.835
eng,four.moons,lle,2000,7,0.25,0.988,0.826
eng,four.moons,lle,2000,9,0.25,0.993,0.829
eng,four.moons,lle,2000,14,0.25,0.994,0.835
eng,four.moons,lle,2000,10,0.25,0.993,0.83
eng,four.moons,lle,2000,12,0.25,0.993,0.833
eng,four.moons,lle,2000,13,0.0,0.988,0.826
eng,four.moons,lle,2000,11,0.0,0.998,0.838
eng,four.moons,lle,2000,8,0.25,0.993,0.828
eng,four.moons,lle,2000,6,0.25,0.992,0.827
eng,four.moons,lle,2000,5,0.25,0.985,0.841
eng,four.moons,lle,2000,15,0.25,0.994,0.835
eng,four.moons,lle,2000,7,0.25,0.988,0.826
eng,coil20,isomap.eng,2000,5,0.094,0.966,0.995
eng,coil20,isomap.eng,2000,6,0.102,0.964,0.994
eng,coil20,isomap.eng,2000,8,0.084,0.974,0.995
eng,coil20,isomap.eng,2000,7,0.101,0.971,0.995
eng,coil20,isomap.eng,2000,9,0.094,0.974,0.994
eng,coil20,isomap.eng,2000,11,0.098,0.978,0.994
eng,coil20,isomap.eng,2000,10,0.09,0.973,0.994
eng,coil20,isomap.eng,2000,12,0.093,0.979,0.994
eng,coil20,isomap.eng,2000,13,0.102,0.978,0.994
eng,coil20,isomap.eng,2000,14,0.11,0.973,0.994
eng,coil20,isomap.eng,2000,15,0.09,0.978,0.994
eng,coil20,isomap.eng,2000,5,0.094,0.966,0.995
eng,coil20,isomap.eng,2000,6,0.102,0.964,0.994
eng,coil20,isomap.eng,2000,8,0.084,0.974,0.995
eng,coil20,isomap.eng,2000,7,0.101,0.971,0.995
eng,coil20,isomap.eng,2000,9,0.094,0.974,0.994
eng,coil20,isomap.eng,2000,11,0.098,0.978,0.994
eng,coil20,isomap.eng,2000,10,0.09,0.973,0.994
eng,coil20,isomap.eng,2000,12,0.093,0.979,0.994
eng,coil20,isomap.eng,2000,13,0.102,0.978,0.994
eng,coil20,isomap.eng,2000,14,0.11,0.973,0.994
eng,coil20,isomap.eng,2000,15,0.09,0.978,0.994
comparative,coil20,le,2000,10,0.407,0.808,0.772
comparative,coil20,le,2000,8,0.42,0.797,0.818
comparative,coil20,le,2000,11,0.265,0.893,0.986
comparative,coil20,le,2000,13,0.215,0.897,0.985
comparative,coil20,le,2000,9,0.41,0.814,0.787
comparative,coil20,le,2000,6,0.64,0.67,0.713
comparative,coil20,le,2000,15,0.155,0.964,0.99
comparative,coil20,le,2000,7,0.324,0.85,0.846
comparative,coil20,le,2000,5,0.341,0.842,0.836
comparative,coil20,le,2000,12,0.218,0.885,0.985
comparative,coil20,le,2000,14,0.174,0.954,0.988
comparative,coil20,le,2000,10,0.407,0.808,0.772
comparative,coil20,le,2000,8,0.42,0.797,0.818
comparative,coil20,le,2000,11,0.265,0.893,0.986
comparative,coil20,le,2000,13,0.215,0.897,0.985
comparative,coil20,le,2000,9,0.41,0.814,0.787
comparative,coil20,le,2000,6,0.64,0.67,0.713
comparative,coil20,le,2000,15,0.155,0.964,0.99
comparative,coil20,le,2000,7,0.324,0.85,0.846
comparative,coil20,le,2000,5,0.341,0.842,0.836
